class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21
Wrong,0.371917367,0.693213284,7.34E-05,0,0.406583011,0.628296852,-0.013212677,0,0.420416683,0.550724924,-0.03452035,0,0.430323094,0.497672468,-0.053285901,0,0.440127999,0.461666763,-0.077682868,0,0.356089652,0.492102772,-0.064449303,0,0.330889523,0.425036013,-0.105950959,0,0.328354269,0.375770926,-0.13217774,0,0.338717699,0.345250666,-0.150808394,0,0.342019767,0.487680882,-0.072833143,0,0.35614714,0.395532519,-0.106627353,0,0.383709311,0.364251614,-0.11805141,0,0.413767129,0.355142921,-0.126074627,0,0.334260821,0.493339837,-0.079727747,0,0.349009454,0.40392831,-0.112773813,0,0.369671881,0.384336412,-0.112447895,0,0.388318688,0.381096661,-0.10952694,0,0.32966125,0.50814724,-0.087621696,0,0.318375528,0.441025376,-0.117394939,0,0.309300184,0.402729928,-0.126315802,0,0.304017127,0.36889866,-0.134747937,0
Wrong,0.37463215,0.696677804,-3.82E-05,0,0.36654222,0.627613842,0.013279623,0,0.36434108,0.556099713,0.000232485,0,0.372516721,0.502983749,-0.017834431,0,0.385657191,0.460184932,-0.041588433,0,0.312298596,0.507572949,-0.072966553,0,0.279581785,0.443424195,-0.112803809,0,0.265816808,0.390332282,-0.138721526,0,0.25893116,0.34122479,-0.157583699,0,0.330532223,0.512077451,-0.094314322,0,0.33677581,0.413359493,-0.147410393,0,0.360248387,0.351124257,-0.175506726,0,0.388790786,0.306814998,-0.188696012,0,0.357778907,0.526874125,-0.109556764,0,0.396362036,0.439477623,-0.143793777,0,0.426006764,0.440654337,-0.135237023,0,0.44153741,0.45622015,-0.125608876,0,0.388980389,0.546970248,-0.123955376,0,0.41657114,0.47857964,-0.144947723,0,0.430889189,0.472689003,-0.139902458,0,0.436385006,0.481164843,-0.133580789,0
Wrong,0.339890718,0.696820378,8.57E-05,0,0.379445076,0.61327219,0.047837231,0,0.389296561,0.532539368,0.05963343,0,0.396335632,0.469219178,0.055671141,0,0.403521091,0.406529367,0.046289936,0,0.320366859,0.498179942,0.049913846,0,0.326138526,0.427821934,0.022523044,0,0.34322384,0.375077546,0.007022693,0,0.361486942,0.335389674,-0.003819938,0,0.303807855,0.494639546,0.006771713,0,0.30787313,0.405437529,-0.015468101,0,0.327246666,0.340780139,-0.040416364,0,0.348325372,0.284223467,-0.057870891,0,0.290330499,0.500714183,-0.03628251,0,0.288482159,0.409256339,-0.062059291,0,0.303070754,0.341543555,-0.083396733,0,0.318833441,0.285566509,-0.097540215,0,0.282702267,0.516639531,-0.07496848,0,0.255948186,0.442361474,-0.104519889,0,0.246284902,0.383525044,-0.12899819,0,0.239215642,0.325466096,-0.147480309,0
Wrong,0.273691297,0.505475044,-4.87E-05,0,0.346927583,0.478468001,0.001043445,0,0.39883244,0.410462379,0.001179317,0,0.426909804,0.346353382,-0.005985545,0,0.448206961,0.281742245,-0.019448763,0,0.340900719,0.289789587,0.05501635,0,0.36983937,0.217870355,0.048392322,0,0.403627127,0.179752603,0.026271483,0,0.438227057,0.155315325,0.009853945,0,0.306687295,0.273375928,0.033434596,0,0.32773456,0.186019212,0.019140102,0,0.364598751,0.15239948,-0.024256308,0,0.39926815,0.150060639,-0.057578418,0,0.274993539,0.271432847,0.007768382,0,0.284311175,0.179838687,-0.006146555,0,0.3176907,0.149880677,-0.04489867,0,0.351869017,0.14930433,-0.074787706,0,0.243693039,0.2801736,-0.018456129,0,0.240591705,0.19443953,-0.024697712,0,0.252051234,0.135730848,-0.041970141,0,0.272945672,0.091148809,-0.061666012,0
Wrong,0.287350178,0.493825853,-3.79E-05,0,0.369411916,0.473727226,-0.004194199,0,0.428063601,0.413003743,-0.00565806,0,0.463912696,0.347959667,-0.015804004,0,0.48628819,0.28455466,-0.02938962,0,0.374493986,0.289260119,0.055618998,0,0.408468634,0.223175332,0.052415971,0,0.444186151,0.194356546,0.036717314,0,0.480015814,0.177784681,0.024623726,0,0.336719871,0.262939245,0.039645139,0,0.35440281,0.176794142,0.034687493,0,0.392156661,0.145610929,0.001175837,0,0.42781949,0.141322002,-0.026071792,0,0.301745951,0.252088845,0.019033989,0,0.305711985,0.162170678,0.014550157,0,0.342086226,0.125196174,-0.009316562,0,0.380305499,0.115827829,-0.026627529,0,0.268593132,0.25236389,-0.002539758,0,0.262424916,0.167373866,-0.000124305,0,0.27325201,0.108016431,-0.00743759,0,0.292322814,0.063356102,-0.016431434,0
Wrong,0.311617881,0.482923776,-5.46E-05,0,0.395776063,0.473504782,0.006129763,0,0.455460012,0.418802828,0.014022755,0,0.493230283,0.357694626,0.010460397,0,0.51947695,0.300128967,0.001167974,0,0.407576412,0.29157874,0.074240237,0,0.451457083,0.232801303,0.07378041,0,0.490358531,0.205645859,0.059008319,0,0.526161432,0.189057767,0.045242999,0,0.372385591,0.258034348,0.057421748,0,0.39946726,0.169036046,0.063163973,0,0.436871052,0.13039048,0.039738484,0,0.471809,0.110210449,0.020565679,0,0.337238073,0.242192104,0.034312755,0,0.3527776,0.153377905,0.035789907,0,0.38910687,0.104556799,0.02100045,0,0.42403093,0.073428035,0.010993829,0,0.302927405,0.23922962,0.009608211,0,0.295321107,0.157195047,0.010517651,0,0.306033403,0.099587783,0.004268906,0,0.32189846,0.050589412,-0.001172874,0
Wrong,0.342439353,0.478679001,-4.74E-05,0,0.423372805,0.476850271,-0.002005113,0,0.485363573,0.423553765,-0.000325255,0,0.525415897,0.361414194,-0.009825276,0,0.561359227,0.306218803,-0.028276924,0,0.445444912,0.294269353,0.051383995,0,0.495991588,0.241937399,0.042939007,0,0.535550237,0.21581012,0.023407998,0,0.570898652,0.198958337,0.005286166,0,0.411239028,0.254649103,0.036802854,0,0.442359447,0.167212322,0.041995838,0,0.475780666,0.116695583,0.020058552,0,0.506998122,0.079213485,-0.001475511,0,0.376256585,0.238261178,0.015946943,0,0.395070761,0.150836483,0.01454699,0,0.423925489,0.094497114,0.000436888,0,0.451703697,0.049412906,-0.011215398,0,0.341155589,0.238541439,-0.007211171,0,0.332359076,0.158136159,-0.01144948,0,0.338119894,0.1016929,-0.018258983,0,0.346913904,0.052859902,-0.024914376,0
Wrong,0.403984666,0.494192302,-0.000104034,0,0.448215455,0.471524358,0.04308534,0,0.477522373,0.426005661,0.06515339,0,0.495677531,0.380975187,0.07672596,0,0.520975053,0.355413258,0.0885671,0,0.497219473,0.319564819,0.072531529,0,0.544106007,0.269758523,0.070719086,0,0.590416849,0.244083524,0.060281325,0,0.633916676,0.221433312,0.035319105,0,0.488840342,0.290963501,0.035408381,0,0.525675416,0.199826598,0.028573476,0,0.556801677,0.131960958,0.012856688,0,0.584515929,0.073328748,-0.003306423,0,0.476811916,0.27372849,-0.002662932,0,0.497018516,0.176451832,-0.005790462,0,0.519088268,0.110293731,-0.010677925,0,0.540627003,0.05104968,-0.017776769,0,0.460363984,0.269307584,-0.04328366,0,0.470316887,0.179152295,-0.049073607,0,0.477092981,0.122656062,-0.056914009,0,0.486255437,0.068997175,-0.066941783,0
Wrong,0.494182765,0.610079646,-9.21E-06,0,0.59507525,0.556461751,0.069624051,0,0.64794296,0.494885445,0.107145555,0,0.693824708,0.433935642,0.117973343,0,0.739282131,0.381658286,0.120553486,0,0.610000432,0.392701715,0.176617742,0,0.654320776,0.312447786,0.231087178,0,0.684368491,0.259575605,0.261912555,0,0.709509075,0.217861295,0.274987727,0,0.587397993,0.360410124,0.131272197,0,0.609862089,0.271329463,0.185138509,0,0.624831319,0.231878906,0.199092224,0,0.644290268,0.198455781,0.206584722,0,0.564059675,0.339136332,0.082607031,0,0.583362639,0.232979283,0.121820889,0,0.602952123,0.185900256,0.128745407,0,0.623457313,0.153787881,0.126551509,0,0.541937411,0.321841151,0.032957245,0,0.566407502,0.215965346,0.05934187,0,0.588793576,0.157429129,0.068508267,0,0.613118291,0.108631909,0.07188502,0
Wrong,0.516860485,0.627370715,-3.40E-05,0,0.607698083,0.591326177,0.049269468,0,0.668459475,0.517391622,0.075892389,0,0.718096495,0.45561564,0.080072984,0,0.761768639,0.407816261,0.070853189,0,0.628259361,0.389529943,0.118541017,0,0.66811657,0.310101807,0.143914968,0,0.693647742,0.257683575,0.159805268,0,0.715535402,0.219696939,0.167350113,0,0.606767654,0.365940601,0.074596308,0,0.63092351,0.261031985,0.100385547,0,0.642363548,0.190959603,0.1034218,0,0.651788712,0.132393032,0.10658364,0,0.583946705,0.359369367,0.026617259,0,0.604566693,0.247140542,0.036875214,0,0.620549738,0.179569781,0.032566465,0,0.632602751,0.124551713,0.03002152,0,0.561296761,0.367898822,-0.023149764,0,0.590253592,0.277675331,-0.030033773,0,0.61377883,0.216037467,-0.03969061,0,0.633290887,0.159249097,-0.046083167,0
Wrong,0.536637545,0.63249737,7.19E-06,0,0.633735001,0.6030159,0.056434069,0,0.692722797,0.53088367,0.079193652,0,0.741563201,0.469445586,0.073679,0,0.784737408,0.415507764,0.058480598,0,0.647311568,0.408187062,0.135791555,0,0.679347396,0.333933204,0.154092357,0,0.702953041,0.285798252,0.165708244,0,0.722862661,0.253828615,0.17324546,0,0.62454927,0.382921636,0.083494127,0,0.646910727,0.271805346,0.109348103,0,0.6665802,0.206389546,0.11523325,0,0.684224606,0.154870212,0.120857432,0,0.603130579,0.374541223,0.023516713,0,0.621879458,0.257128567,0.030551227,0,0.643015623,0.191828638,0.02839409,0,0.661021054,0.135601789,0.027977522,0,0.585593104,0.38070035,-0.037203807,0,0.614828706,0.2914868,-0.04720705,0,0.640360534,0.233305395,-0.055717543,0,0.661925137,0.179357111,-0.060385287,0
Wrong,0.522809267,0.64647752,-1.55E-05,0,0.620640039,0.556339979,0.063702278,0,0.661657393,0.465625674,0.094196714,0,0.693958998,0.404168159,0.104821555,0,0.715519547,0.364713371,0.101691857,0,0.598706305,0.373326123,0.130412519,0,0.609417558,0.283842802,0.147031248,0,0.62742579,0.239322186,0.150199622,0,0.645069361,0.207784027,0.144428656,0,0.571380258,0.364567161,0.082596928,0,0.589581251,0.273771316,0.09351436,0,0.608042955,0.225269422,0.068556078,0,0.622159183,0.193370461,0.048581623,0,0.549344301,0.372509658,0.033062853,0,0.609901249,0.294574201,0.011930603,0,0.674104095,0.301790714,-0.026171785,0,0.716617882,0.331021965,-0.052524146,0,0.52959168,0.380470395,-0.011777561,0,0.583842456,0.301604927,-0.030621894,0,0.629679859,0.27214542,-0.050548278,0,0.665179312,0.253880799,-0.072645336,0
Wrong,0.516568005,0.63068217,-5.99E-05,0,0.6110425,0.531232059,0.051852856,0,0.641232908,0.43613416,0.062215388,0,0.661880374,0.367979795,0.044646863,0,0.680070877,0.311329246,0.019261857,0,0.556894422,0.346339703,0.099081546,0,0.563794792,0.249807194,0.089467458,0,0.585521579,0.185533851,0.077742398,0,0.605372131,0.135969579,0.069621131,0,0.523232996,0.3497082,0.051770516,0,0.534627795,0.254243374,0.035893571,0,0.554699659,0.202562436,0.011321481,0,0.570944011,0.164836109,-0.007585975,0,0.499617815,0.372681409,0.001148418,0,0.561690331,0.301986992,-0.029943127,0,0.615640044,0.310490251,-0.057977833,0,0.649727881,0.335550427,-0.073095851,0,0.486104965,0.40456152,-0.047951624,0,0.560798347,0.362564206,-0.061969232,0,0.61296916,0.381537378,-0.075136639,0,0.64530021,0.412887812,-0.085925415,0
Wrong,0.496794283,0.620402813,-0.000115298,0,0.581783175,0.538272023,0.047923349,0,0.622744441,0.444097847,0.049380355,0,0.655502081,0.379458845,0.02105063,0,0.682572842,0.327004522,-0.016685456,0,0.538247466,0.346978098,0.081168316,0,0.553310931,0.246895313,0.066335857,0,0.576400101,0.181932226,0.052281473,0,0.597067893,0.127831608,0.039668191,0,0.508667767,0.356417388,0.030056091,0,0.524686813,0.252119005,0.00535555,0,0.551934481,0.198117286,-0.023885343,0,0.574471772,0.1625586,-0.04707031,0,0.490793765,0.381256878,-0.025453292,0,0.558601499,0.302733481,-0.054597255,0,0.617117047,0.307614297,-0.083103254,0,0.65286243,0.333048463,-0.102099955,0,0.48653388,0.414238185,-0.077900916,0,0.557234049,0.36554873,-0.100719541,0,0.602934062,0.387066454,-0.117543235,0,0.629912376,0.424422652,-0.128949746,0
Wrong,0.471533209,0.616911769,-9.11E-05,0,0.549045324,0.539829731,0.038869813,0,0.592781365,0.452071548,0.032112379,0,0.629768729,0.37987572,0.002604223,0,0.658884585,0.310994267,-0.032695331,0,0.514976978,0.342882961,0.044981688,0,0.536616445,0.256032258,0.014190249,0,0.564199686,0.196713388,-0.013944549,0,0.59005934,0.150297135,-0.03535074,0,0.486323059,0.347880006,-0.004829778,0,0.518790424,0.255180091,-0.043405816,0,0.557345152,0.2226668,-0.074681155,0,0.586937487,0.203359887,-0.094740987,0,0.467247605,0.372464001,-0.057627995,0,0.534923077,0.313790083,-0.096009508,0,0.588595331,0.338196337,-0.118104957,0,0.618404686,0.369758874,-0.129874676,0,0.459980279,0.407964408,-0.107496217,0,0.531303167,0.380860448,-0.133698016,0,0.577816129,0.404535234,-0.144166142,0,0.60250324,0.432655632,-0.153584525,0
